0004e4d4 T __ZN5yaSSL4Data7ProcessERNS_12input_bufferERNS_3SSLE
0004e490 T __ZN5yaSSL4Data7SetDataEtPKh
0004e460 T __ZN5yaSSL4DataC1EtPh
0004e428 T __ZN5yaSSL4DataC1Ev
0004e478 T __ZN5yaSSL4DataC2EtPh
0004e444 T __ZN5yaSSL4DataC2Ev
000556b8 T __ZN5yaSSL4X50910GetSubjectEv
000556c0 T __ZN5yaSSL4X5098GetAfterEv
000556bc T __ZN5yaSSL4X5099GetBeforeEv
000556b4 T __ZN5yaSSL4X5099GetIssuerEv
000556c4 T __ZN5yaSSL4X509C1EPKcmS2_mPNS_11ASN1_STRINGES4_
00057548 T __ZN5yaSSL4X509C2EPKcmS2_mPNS_11ASN1_STRINGES4_
